id,message,wants_A_appreciated_or_B_evaluated
0,"I made it for my kid. Okay, here it is: the chess repertoire. It works now.",
1,"I'm keeping this one for myself. Okay, here it is: the birdhouse. It works now.",
2,"I made it for my kid. Anyway, here it is: the sourdough starter. It's finally done.",
3,"It's going in my portfolio. Okay, here it is: the photo-organizing tool. It works now.",
4,"It's going in my portfolio. Anyway, here it is: the pour-over setup. It's finally done.",
5,"I made it in memory of my grandpa. Okay, here it is: the little 2D platformer. It works now.",
6,"It's going up on the wall at home. Okay, here it is: the wooden chess set. It works now.",
7,"It's a work sample for a job I'm applying to. Okay, here it is: the wooden chess set. It works now.",
8,"I made it in memory of my grandpa. Anyway, here it is: the raised garden bed. It's finally done.",
9,"I'm keeping this one for myself. Anyway, here it is: the short story I wrote. It's finally done.",
10,"I'm keeping this one for myself. So, here it is: the family recipe book. Finished it last night.",
11,"It's a birthday present for my mom. Okay, here it is: the photo-organizing tool. It works now.",
12,"It's going in my portfolio. So, here it is: the budgeting spreadsheet. Finished it last night.",
13,"It's a birthday present for my mom. Anyway, here it is: the pour-over setup. It's finally done.",
14,"It's going up on the wall at home. Anyway, here it is: the research poster. It's finally done.",
15,"I'm showing it to the client on Monday. Okay, here it is: the model train layout. It works now.",
16,"It's a work sample for a job I'm applying to. Anyway, here it is: the research poster. It's finally done.",
17,"I'm showing it to the client on Monday. So, here it is: the knitted scarf. Finished it last night.",
18,"It's the prototype before I make fifty more. Okay, here it is: the chess repertoire. It works now.",
19,"It's a birthday present for my mom. So, here it is: the budgeting spreadsheet. Finished it last night.",
20,"It's going on the mantel with the family photos. Okay, here it is: the song I recorded. It works now.",
21,"It's the first thing I've ever made like this. Okay, here it is: the model train layout. It works now.",
22,"I'm showing it to the client on Monday. Anyway, here it is: the habit-tracking app. It's finally done.",
23,"It's going on the mantel with the family photos. So, here it is: the trail map. Finished it last night.",
24,"It's going up on the wall at home. So, here it is: the watercolor of the harbor. Finished it last night.",
25,"It's the first thing I've ever made like this. So, here it is: the knitted scarf. Finished it last night.",
26,"It's a work sample for a job I'm applying to. So, here it is: the watercolor of the harbor. Finished it last night.",
27,"I'm submitting it to the juried show next week. Okay, here it is: the birdhouse. It works now.",
28,"I'm entering it in the competition on Friday. Okay, here it is: the song I recorded. It works now.",
29,"It's going in front of my thesis committee. Anyway, here it is: the homemade synthesizer. It's finally done.",
30,"It goes live on the store page tomorrow. Okay, here it is: the little 2D platformer. It works now.",
31,"It's the prototype before I make fifty more. Anyway, here it is: the sourdough starter. It's finally done.",
32,"It's the first thing I've ever made like this. Anyway, here it is: the habit-tracking app. It's finally done.",
33,"I'm entering it in the competition on Friday. So, here it is: the trail map. Finished it last night.",
34,"It's going in front of my thesis committee. So, here it is: the bouldering route I set. Finished it last night.",
35,"It goes live on the store page tomorrow. Anyway, here it is: the raised garden bed. It's finally done.",
36,"I'm submitting it to the juried show next week. Anyway, here it is: the short story I wrote. It's finally done.",
37,"I'm submitting it to the juried show next week. So, here it is: the family recipe book. Finished it last night.",
38,"It's a little gift for a friend going through a hard time. Anyway, here it is: the homemade synthesizer. It's finally done.",
39,"It's a little gift for a friend going through a hard time. So, here it is: the bouldering route I set. Finished it last night.",
