id,condition,intent,lex_offers_feedback,emb_offers_feedback
0,default,recognize,1,1
1,steered,recognize,0,0
2,default,evaluate,0,0
3,default,recognize,1,1
4,steered,recognize,0,0
5,default,recognize,1,0
6,steered,recognize,0,0
7,steered,recognize,0,0
8,default,recognize,0,1
9,default,recognize,1,0
10,default,recognize,1,0
11,default,evaluate,1,1
12,default,recognize,0,0
13,default,evaluate,1,1
14,default,recognize,0,0
15,default,recognize,1,0
16,default,recognize,0,0
17,default,evaluate,1,0
18,default,evaluate,1,1
19,default,recognize,0,0
20,default,recognize,0,0
21,default,recognize,0,0
22,default,recognize,0,0
23,default,recognize,1,0
24,default,recognize,0,0
25,default,recognize,0,0
26,default,recognize,0,0
27,default,evaluate,0,1
28,default,recognize,0,1
29,default,evaluate,1,1
30,steered,recognize,0,0
31,steered,recognize,0,0
32,steered,recognize,0,0
33,steered,recognize,0,0
34,steered,recognize,0,0
35,steered,recognize,0,0
36,steered,recognize,0,0
37,steered,recognize,0,0
38,steered,recognize,0,0
39,steered,recognize,0,0
40,default,recognize,1,1
41,steered,recognize,0,0
42,steered,recognize,0,0
43,default,evaluate,1,0
44,steered,recognize,0,0
45,default,recognize,0,0
46,steered,recognize,0,0
47,default,evaluate,1,1
48,default,recognize,1,1
49,steered,recognize,0,0
50,default,evaluate,1,1
51,steered,recognize,0,0
52,default,evaluate,1,1
53,steered,recognize,1,0
54,steered,recognize,0,0
55,default,recognize,0,1
56,steered,recognize,0,0
57,default,evaluate,1,1
58,steered,recognize,0,0
59,default,recognize,1,0
